Timestamp,Open,High,Low,Close,Volume
28/02/2025 18:46,396.6,396.7,396.6,396.69,40
28/02/2025 18:45,396.69,396.69,396.65,396.65,13
28/02/2025 18:44,396.6,396.74,396.6,396.65,71
28/02/2025 18:43,396.69,396.69,396.6,396.6,11
28/02/2025 18:42,396.69,396.7,396.6,396.69,105
28/02/2025 18:41,396.69,396.78,396.69,396.78,21
28/02/2025 18:40,396.6,396.78,396.6,396.75,218
28/02/2025 18:39,396.7,396.78,396.6,396.6008,54
28/02/2025 18:38,396.66,396.78,396.5026,396.78,1287
28/02/2025 18:37,396.65,396.66,396.6,396.66,20
28/02/2025 18:36,396.66,396.7,396.6,396.605,25
28/02/2025 18:35,396.66,396.66,396.5,396.65,37
28/02/2025 18:34,396.6,396.6,396.5,396.58,32
28/02/2025 18:33,396.68,396.7,396.5,396.66,413
28/02/2025 18:32,396.64,396.64,396.59,396.59,3
28/02/2025 18:31,396.6,396.78,396.5,396.64,212
28/02/2025 18:30,396.63,396.705,396.58,396.58,957
28/02/2025 18:29,396.705,396.78,396.63,396.7,11
28/02/2025 18:28,396.7,396.7,396.63,396.69,42
28/02/2025 18:27,396.7,396.7,396.63,396.6301,9
28/02/2025 18:26,396.778,396.78,396.63,396.705,1857
28/02/2025 18:25,396.74,396.78,396.7,396.74,27
28/02/2025 18:24,396.7001,396.74,396.7,396.74,82
28/02/2025 18:23,396.725,396.78,396.71,396.78,249
28/02/2025 18:22,396.68,396.75,396.6312,396.75,745
28/02/2025 18:21,396.705,396.78,396.69,396.75,357
28/02/2025 18:20,396.78,396.78,396.63,396.77,263
